Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2021-11-17,232.6,2093000.0,3898.84
2021-11-16,222.05,1998000.0,3888.53
2021-11-15,222.75,1997000.0,3888.53
2021-11-14,,1972000.0,3888.53
2021-11-13,,1972000.0,3888.53
2021-11-12,219.7,1972000.0,3875.38
2021-11-11,210.9,1900000.0,3875.38
2021-11-10,204.0,1847000.0,3876.86
2021-11-09,205.9,1860000.0,3874.41
2021-11-08,199.65,1815000.0,3881.76
2021-11-07,,1845000.0,3881.76
2021-11-06,,1845000.0,3881.76
2021-11-05,203.55,1845000.0,3847.4
2021-11-04,208.6,1888000.0,3837.84
2021-11-03,209.3,1873000.0,3778.69
2021-11-02,208.05,1846000.0,3784.44
2021-11-01,208.7,1835000.0,3784.44
2021-10-31,,1795000.0,3784.44
2021-10-30,,1795000.0,3784.44
2021-10-29,203.95,1795000.0,3766.1
2021-10-28,199.95,1773000.0,3761.21
2021-10-27,201.35,1775000.0,3774.46
2021-10-26,208.1,1830000.0,3769.98
2021-10-25,202.55,1785000.0,3780.38
2021-10-24,,1765000.0,3780.38
2021-10-23,,1765000.0,3780.38
2021-10-22,199.85,1765000.0,3783.3
2021-10-21,203.3,1794000.0,3770.58
2021-10-20,205.55,1805000.0,3766.94
2021-10-19,204.25,1795000.0,3772.49
2021-10-18,201.6,1770000.0,3772.49
2021-10-17,,1785000.0,3772.49
2021-10-16,,1785000.0,3772.49
2021-10-15,203.4,1785000.0,3755.29
2021-10-14,209.25,1834000.0,3725.75
2021-10-13,208.65,1817000.0,3738.48
2021-10-12,213.15,1840000.0,3765.8
2021-10-11,204.25,1795000.0,3765.8
2021-10-10,,1773000.0,3765.8
2021-10-09,,1773000.0,3765.8
2021-10-08,201.35,1773000.0,3772.44
2021-10-07,197.9,1750000.0,3788.03
2021-10-06,193.45,1720000.0,3796.3
2021-10-05,191.9,1705000.0,3786.05
2021-10-04,200.35,1776000.0,3781.35
2021-10-03,,1805000.0,3781.35
2021-10-02,,1805000.0,3781.35
2021-10-01,204.05,1805000.0,3812.77
2021-09-30,194.0,1735000.0,3834.68
2021-09-29,193.4,1745000.0,3841.94
2021-09-28,198.6,1783000.0,3837.91
2021-09-27,193.65,1748000.0,3844.88
2021-09-26,,1750000.0,3844.88
2021-09-25,,1750000.0,3844.88
2021-09-24,194.35,1750000.0,3835.67
2021-09-23,190.6,1720000.0,3834.66
2021-09-22,184.85,1675000.0,3843.77
2021-09-21,183.35,1665000.0,3851.22
2021-09-20,183.5,1660000.0,3828.18
2021-09-19,,1685000.0,3828.18
2021-09-18,,1685000.0,3828.18
2021-09-17,187.3,1685000.0,3818.16
2021-09-16,187.8,1694000.0,3825.36
2021-09-15,187.0,1686000.0,3830.83
2021-09-14,183.0,1678000.0,3835.27
2021-09-13,184.35,1687000.0,3836.85
2021-09-12,,1698000.0,3836.85
2021-09-11,,1698000.0,3836.85
2021-09-10,185.6,1698000.0,3829.72
2021-09-09,185.0,1697000.0,3816.14
2021-09-08,187.75,1703000.0,3812.76
2021-09-07,191.5,1733000.0,3790.04
2021-09-06,,,3790.04
2021-09-05,,1725000.0,3790.04
2021-09-04,,1725000.0,3790.04
2021-09-03,190.55,1725000.0,3780.85
2021-09-02,191.9,1735000.0,3753.3
2021-09-01,193.2,1734000.0,3774.0
2021-08-31,193.45,1740000.0,3806.87
2021-08-30,197.4,1797000.0,3834.13
2021-08-29,,1742000.0,3834.13
2021-08-28,,1742000.0,3834.13
2021-08-27,189.5,1742000.0,3870.57
2021-08-26,185.65,1726000.0,3865.04
2021-08-25,184.05,1712000.0,3861.88
