Fecha,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,Futuros,Precio Interno ($/125 Kg),TRM
2022-01-07,0.78,31.56,0.47,-2.23,238.45,2189000.0,4039.31
2022-01-06,7.44,26.79,0.0,1.07,231.7,2125000.0,4042.36
2022-01-05,8.69,18.71,0.05,-0.89,231.75,2120000.0,4084.11
2022-01-04,2.75,19.83,0.14,1.62,231.75,2149000.0,4082.75
2022-01-03,2.06,39.69,0.0,2.0,223.3,2074000.0,3981.16
2022-01-02,5.4,42.67,0.26,1.23,,2097000.0,3981.16
2022-01-01,27.97,46.06,0.11,1.2,,2097000.0,3981.16
2021-12-31,5.81,57.31,1.33,0.0,226.1,2097000.0,3981.16
2021-12-30,2.75,39.71,0.33,0.0,228.85,2120000.0,4023.68
2021-12-29,5.62,41.57,0.14,-0.95,228.9,2104000.0,4004.0
2021-12-28,4.74,46.52,0.44,-3.0,225.6,2061000.0,3989.41
2021-12-27,13.72,56.19,0.44,-3.69,227.05,2069000.0,3994.15
2021-12-26,1.43,44.29,0.71,-3.56,,2098000.0,3994.15
2021-12-25,1.93,44.44,1.19,-3.08,,2098000.0,3994.15
2021-12-24,4.5,51.39,0.29,-3.69,,2098000.0,3997.09
2021-12-23,4.91,33.28,0.22,-0.54,231.2,2103000.0,3997.71
2021-12-22,6.13,33.7,0.11,-0.37,233.55,2122000.0,3996.28
2021-12-21,0.61,35.54,0.0,1.06,228.25,2080000.0,4002.12
2021-12-20,10.23,26.99,0.57,1.49,224.4,2048000.0,3999.85
2021-12-19,3.26,17.48,0.0,2.95,,2118000.0,3999.85
2021-12-18,2.26,26.88,3.35,5.1,,2118000.0,3999.85
2021-12-17,0.66,28.12,0.27,8.21,235.9,2118000.0,4002.97
2021-12-16,0.39,24.92,0.06,6.11,236.95,2160000.0,3990.27
2021-12-15,0.72,23.8,0.0,0.45,237.4,2153000.0,3936.41
2021-12-14,1.42,27.52,0.32,-2.26,237.15,2155000.0,3886.87
2021-12-13,1.93,16.79,0.3,3.96,236.7,2090000.0,3887.71
2021-12-12,2.2,17.85,1.22,0.63,,2061000.0,3887.71
2021-12-11,14.19,33.57,10.05,-3.15,,2061000.0,3887.71
2021-12-10,0.85,18.7,0.42,-2.79,232.7,2061000.0,3899.87
2021-12-09,0.73,40.06,0.15,-5.41,240.35,2123000.0,3906.1
2021-12-08,1.06,28.28,0.08,-0.27,244.75,2160000.0,3906.1
2021-12-07,1.66,19.94,0.28,5.52,243.9,2153000.0,3944.0
2021-12-06,0.95,15.88,0.0,2.95,250.2,2218000.0,3948.33
2021-12-05,2.67,27.6,0.3,2.95,,2183000.0,3948.33
2021-12-04,22.31,45.94,0.08,-4.87,,2183000.0,3948.33
2021-12-03,8.22,31.9,0.17,0.14,244.05,2183000.0,3945.18
2021-12-02,1.12,26.29,0.4,2.72,237.45,2113000.0,3953.26
2021-12-01,10.72,34.26,0.53,-0.3,234.2,2102000.0,4004.54
2021-11-30,3.01,43.75,9.96,-1.14,233.25,2110000.0,4010.98
2021-11-29,2.86,19.05,0.29,-3.92,233.85,2136000.0,4008.13
2021-11-28,6.39,42.04,0.27,-4.09,,2202000.0,4008.13
2021-11-27,3.79,29.42,0.21,-2.29,,2202000.0,4008.13
2021-11-26,1.2,38.1,0.09,-10.02,243.85,2202000.0,3969.49
2021-11-25,1.14,29.43,0.06,-15.72,,,3969.49
2021-11-24,0.42,27.13,0.37,-18.82,246.3,2205000.0,3944.37
2021-11-23,1.71,37.3,1.71,-15.98,242.55,2168000.0,3913.26
2021-11-22,8.98,42.68,0.0,-11.64,231.35,2070000.0,3923.53
2021-11-21,0.43,17.63,0.0,-13.86,,2080000.0,3923.53
2021-11-20,0.73,22.78,0.33,-18.25,,2080000.0,3923.53
2021-11-19,1.41,21.72,0.27,-11.72,233.3,2080000.0,3943.43
2021-11-18,0.45,28.49,0.22,-8.2,228.95,2052000.0,3907.95
2021-11-17,0.4,25.81,8.74,-7.54,232.6,2093000.0,3898.84
2021-11-16,1.14,24.87,0.0,-9.28,222.05,1998000.0,3888.53
2021-11-15,14.6,26.23,0.0,-6.39,222.75,1997000.0,3888.53
2021-11-14,2.46,36.85,0.1,-5.38,,1972000.0,3888.53
2021-11-13,0.66,28.61,0.22,-3.52,,1972000.0,3888.53
2021-11-12,0.85,26.3,0.47,-7.59,219.7,1972000.0,3875.38
2021-11-11,2.97,22.92,0.1,-13.16,210.9,1900000.0,3875.38
2021-11-10,1.07,31.13,0.08,-17.61,204.0,1847000.0,3876.86
2021-11-09,1.8,21.64,0.23,-18.22,205.9,1860000.0,3874.41
2021-11-08,9.15,29.74,1.31,-18.63,199.65,1815000.0,3881.76
2021-11-07,38.16,52.52,0.88,-16.92,,1845000.0,3881.76
2021-11-06,7.64,34.48,0.17,-16.92,,1845000.0,3881.76
2021-11-05,1.63,26.22,0.08,-16.58,203.55,1845000.0,3847.4
2021-11-04,23.62,42.73,1.26,-13.07,208.6,1888000.0,3837.84
2021-11-03,1.79,16.93,0.13,-6.13,209.3,1873000.0,3778.69
2021-11-02,5.59,24.36,4.04,-3.54,208.05,1846000.0,3784.44
2021-11-01,14.23,31.46,6.37,-3.02,208.7,1835000.0,3784.44
2021-10-31,3.52,13.46,0.41,-1.95,,1795000.0,3784.44
2021-10-30,6.6,39.05,0.16,-1.7,,1795000.0,3784.44
2021-10-29,2.04,29.79,0.25,8.49,203.95,1795000.0,3766.1
2021-10-28,0.99,19.35,0.12,13.93,199.95,1773000.0,3761.21
2021-10-27,1.53,22.88,0.15,19.8,201.35,1775000.0,3774.46
2021-10-26,1.76,18.36,0.4,19.18,208.1,1830000.0,3769.98
2021-10-25,0.29,6.12,1.69,22.52,202.55,1785000.0,3780.38
2021-10-24,0.73,13.61,0.18,17.99,,1765000.0,3780.38
2021-10-23,2.08,26.27,0.5,17.18,,1765000.0,3780.38
2021-10-22,0.34,19.62,0.04,9.57,199.85,1765000.0,3783.3
2021-10-21,1.73,29.58,0.7,9.04,203.3,1794000.0,3770.58
2021-10-20,0.92,38.85,4.31,1.35,205.55,1805000.0,3766.94
2021-10-19,0.94,12.62,3.76,2.42,204.25,1795000.0,3772.49
2021-10-18,1.23,8.72,0.21,1.42,201.6,1770000.0,3772.49
2021-10-17,6.37,19.83,0.5,1.82,,1785000.0,3772.49
2021-10-16,3.62,26.11,0.05,2.52,,1785000.0,3772.49
2021-10-15,2.28,31.42,0.37,1.01,203.4,1785000.0,3755.29
2021-10-14,0.92,25.94,0.13,0.17,209.25,1834000.0,3725.75
2021-10-13,0.98,24.17,0.62,-0.1,208.65,1817000.0,3738.48
2021-10-12,0.77,24.03,1.39,-1.43,213.15,1840000.0,3765.8
