Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-04-04,2.489985335026472,train,2.6746156,train,2.6294797452954346,train,2.096514,train,2.204878989872393
2020-04-05,1.0450388660914405,train,1.9141563,train,1.494387174662133,train,1.9650624,train,1.9259321343349625
2020-04-06,2.956527830207942,train,2.824513,train,2.5166951985471395,train,2.190736,train,1.9238975739141235
2020-04-07,2.748006356602968,train,2.4272408,train,2.442959738017386,train,2.1765168,train,3.036299862862397
2020-04-08,0.0834376352119672,train,0.7317103,train,0.6109814134198863,train,1.7076197,train,1.230881116773643
2020-04-09,1.0067199117723968,train,0.8194767,train,1.5352007981371414,train,1.7076197,train,1.6401999984000204
2020-04-10,0.4094553113787866,train,0.6415665,train,0.988316217153166,train,1.7010586,train,1.8415181599749104
2020-04-11,1.195154981536982,train,1.0233675,train,1.2661349101200794,train,1.7076197,train,0.9862018102408264
2020-04-12,0.6287110822764721,train,0.9324252,train,0.9592120608156388,train,1.7010586,train,0.6897403128350549
2020-04-13,1.2683464024522668,train,1.7107999,train,1.4099925754593703,train,1.7010586,train,1.1888112135078734
2020-04-14,2.152435914811232,train,2.6101449,train,2.1188568748133694,train,1.9650624,train,2.440251146138211
2020-04-15,2.527514495819501,train,2.4952974,train,2.291428609984571,train,1.851356,train,2.6357709429682816
2020-04-16,1.3400535537482228,train,2.3235302,train,1.5427828080668442,train,1.7076197,train,2.317838813668049
2020-04-17,2.1735353843179044,train,2.1159873,train,1.910881863322808,train,1.7010586,train,1.1604068887761023
2020-04-18,0.3634800837719493,train,0.9884646,train,0.6885887722548197,train,1.7010586,train,0.7959933738114653
2020-04-19,0.0388147020045831,train,0.90791273,train,0.5603608097057144,train,1.7010586,train,0.3663276494709647
2020-04-20,1.765092860422011,train,1.7397181,train,1.6588990525667164,train,1.9617691,train,1.047142637195905
2020-04-21,3.583007543465498,train,2.4143562,train,2.76750450674684,train,2.2820172,train,1.9283892975153325
2020-04-22,0.8626614224337044,train,1.9227594,train,1.1565771059081271,train,1.8181466,train,1.7912338452659815
2020-04-23,0.4060461252201952,train,2.5002508,train,0.8410317408987757,train,1.7076197,train,1.296126952303175
2020-04-24,5.411725003682691,train,3.4262521,train,4.018511393046779,train,2.8826718,train,2.033037144673426
2020-04-25,3.106590554108553,train,2.2081907,train,2.641625948493211,train,2.1670637,train,1.6437089994280287
2020-04-26,0.4682361659512219,train,0.91121364,train,0.9113935123291912,train,1.5910919,train,0.4330371623123542
2020-04-27,2.066379520878636,train,1.985446,train,1.905993162485324,train,1.9650624,train,1.7263633350176817
2020-04-28,1.046134124536955,train,2.1008673,train,1.3440085220553843,train,1.9650624,train,2.185312675382902
2020-04-29,1.958505399440336,train,2.1024685,train,1.8083404955222169,train,1.9617691,train,1.4163159523234856
2020-04-30,0.960161001022007,train,1.5491583,train,1.21325843045489,train,1.7076197,train,1.1283823030644142
2020-05-01,0.1912960889433992,train,1.1613659,train,0.8311998964584838,train,1.7010586,train,0.8506130833551742
2020-05-02,0.7256541503481568,train,0.9981687,train,0.9329823893854036,train,1.7010586,train,0.7078749628325695
2020-05-03,0.046421713359991,train,1.0382962,train,0.5689782638316393,train,1.7010586,train,0.4435072366766068
2020-05-04,1.726861066163664,train,2.1740975,train,1.601283638021281,train,1.7076197,train,0.9473398066085232
2020-05-05,3.0786013386226707,train,2.4035256,train,2.4690287226779057,train,1.7010586,train,1.8046800378081365
2020-05-06,0.4582959442220386,train,2.0482256,train,0.8845823420501601,train,1.7076197,train,1.7556708480731087
2020-05-07,1.7528124034257349,train,2.071531,train,1.705195054753467,train,1.7010586,train,1.577205099254034
2020-05-08,2.436342064011467,train,2.5091653,train,2.275278011832641,train,1.9650624,train,2.68839728281265
2020-05-09,1.6048701893034436,train,2.0312343,train,1.5577290480432733,train,1.8525201,train,0.859228699479406
2020-05-10,0.5101508549501993,train,1.7259896,train,0.8799932468316323,train,1.7010586,train,0.4877555718680242
2020-05-11,2.144717568153759,train,2.3986697,train,1.7788671849451994,train,1.7010586,train,0.9630368924080857
2020-05-12,3.123069011846781,train,2.7706273,train,2.3966124725008777,train,2.1765168,train,2.808411991655232
2020-05-13,1.9603783430567927,train,2.1941283,train,1.854984703548071,train,2.2820172,train,1.8864344423629031
2020-05-14,1.2952927560658456,train,1.2249717,train,1.364572815711801,train,1.7076197,train,1.175610269189806
2020-05-15,0.0953743515309779,train,0.31961936,train,0.4664629500874779,train,1.7010586,train,0.869834078100991
2020-05-16,0.4157195243621409,train,0.47703505,train,0.9162708119038044,train,1.7076197,train,0.7249495197693165
2020-05-17,0.175441756717522,train,0.40475905,train,0.4995798547906248,train,1.7010586,train,0.6550387899309221
2020-05-18,1.0953898665696638,train,1.1674819,train,1.1411730978920216,train,1.7010586,train,0.6954383834940562
2020-05-19,1.2691122159499717,train,1.8237083,train,1.2208765116903355,train,1.7010586,train,0.961509132782422
2020-05-20,1.3164270973625969,train,1.6699593,train,1.3027707469295349,train,1.9650624,train,1.5950626713641702
2020-05-21,0.8555185259818665,train,1.6666969,train,1.124685725056407,train,1.7010586,train,1.5957563795924894
2020-05-22,1.103922897686448,train,1.4979414,train,1.2509069419291436,train,1.7010586,train,1.3341714054736278
2020-05-23,0.1422673733033917,train,1.0755649,train,0.4985705974093195,train,1.7933295,train,0.379812026506642
2020-05-24,1.0296226309939194,train,1.0309463,train,1.1268517930246555,train,1.7010586,train,0.5252100672185767
2020-05-25,0.7963874936654175,train,1.183659,train,0.9804092128448016,train,1.7010586,train,0.7510323707926608
2020-05-26,0.5307826922104625,train,1.8890965,train,0.8673443900076458,train,1.7010586,train,0.8357441507221097
2020-05-27,2.504947930444253,train,2.3270328,train,2.075491306946066,train,1.7010586,train,1.056436444119773
2020-05-28,3.373335724252059,train,2.5677168,train,2.759699759601569,train,2.2770402,train,1.960442382274404
2020-05-29,2.866112253186237,train,2.0369973,train,3.025590153500392,train,2.1670637,train,1.378403935162567
2020-05-30,0.2399621655782306,train,1.2340462,train,0.6694028635055087,train,1.5910919,train,1.2760584719623491
2020-05-31,1.3419664701185163,train,1.0769956,train,1.186462244978231,train,1.7933295,train,0.1597296837829636
2020-06-01,0.9535665303638144,train,1.0816703,train,1.0495436866227563,train,1.7010586,train,1.4335696534626836
2020-06-02,0.1017811792700603,train,0.33631235,train,0.5283149396498882,train,1.7010586,train,0.9368874509457332
2020-06-03,0.9123225975521972,train,1.7050202,train,1.15789244358683,train,1.851356,train,1.0528712264985298
2020-06-04,0.963252061347217,train,1.2774663,train,1.0780389079810628,train,1.7010586,train,0.949325927621373
2020-06-05,0.7612317906196397,train,0.6439611,train,1.2385464058017202,train,1.7010586,train,1.4521204087884023
2020-06-06,0.7096608095053457,train,0.40325457,train,0.7861858142031029,train,1.7010586,train,0.1223325384062941
2020-06-07,0.0386625070637545,train,0.524943,train,0.5487003813614145,train,1.7010586,train,0.8952410461398292
2020-06-08,0.670998302441591,train,0.7552949,train,0.7961135180154797,train,1.7010586,train,0.437086340020882
2020-06-09,1.1184661587894815,train,0.95657593,train,1.1979796749721991,train,1.7010586,train,1.5844812681155096
2020-06-10,1.0794245130880402,train,1.1102597,train,1.254957596383273,train,1.7010586,train,1.076999351627285
2020-06-11,0.7782140442054963,train,0.8249561,train,1.0107580352802674,train,1.7010586,train,1.162110347778267
2020-06-12,0.8368249670516579,train,0.942259,train,1.022413902349343,train,1.7010586,train,0.9006867132702587
2020-06-13,0.34810787231702,train,0.76884174,train,0.6064446445940564,train,1.7010586,train,0.4586273147880154
2020-06-14,0.2010167862218936,train,0.7135567,train,0.479776614921616,train,1.7010586,train,0.6254808906494943
2020-06-15,0.7193912941926641,train,0.70757943,train,1.0222185545564766,train,1.7010586,train,1.1107847066259744
2020-06-16,0.3730353379906367,train,1.0364575,train,0.7250397947220723,train,1.7010586,train,1.3075410026316203
2020-06-17,2.738454427779605,train,1.9202226,train,2.1591597001868688,train,1.7010586,train,1.4771953893746943
2020-06-18,1.729149711006111,train,1.9816024,train,1.7080529566821745,train,1.8310052,train,2.242259051905138
2020-06-19,0.9025811207312332,train,1.529723,train,1.0074151519229149,train,1.7010586,train,1.7205821681701563
2020-06-20,0.552212160417347,train,0.76611423,train,0.8274354297421127,train,1.7010586,train,1.4212003760376295
2020-06-21,1.022935370234095,train,0.8898366,train,0.9658051886730128,train,1.7010586,train,1.0910526229117834
2020-06-22,0.7444082296674301,train,0.8725691,train,0.8228600577386431,train,1.7010586,train,0.5871437976934778
2020-06-23,0.3121750714184585,train,0.8156796,train,0.5551413103161242,train,1.7010586,train,1.0242851076486166
2020-06-24,0.4147232486446389,train,1.4498365,train,0.8383815460685426,train,1.7010586,train,1.4710953293885178
