Fecha,Vol. Futuros,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2010-01-25,0.1877234197460239,0.5818081,train,0.383132647084616,train,0.5965179,train,0.7149359712691485
2010-01-26,0.8283857923979376,0.8206433,train,1.012797097234886,train,0.86680895,train,0.8342659243116326
2010-01-27,3.4587700846474214,1.2757801,train,2.656436924436143,train,1.2965287,train,1.3952434621370893
2010-01-28,0.4502821866941269,1.6529286,train,0.8828131798313795,train,1.0579814,train,2.035626051843759
2010-01-29,0.9446508939793512,0.9722219,train,1.1873686111900332,train,1.2130971,train,1.0159080651651224
2010-01-30,0.1298839014672504,1.0558841,train,0.4644577823501568,train,0.80591226,train,0.8950585498242966
2010-01-31,0.3195293214770294,0.8528258,train,0.5702925533705855,train,0.84610623,train,0.6541331797831179
2010-02-01,0.4536869785701584,0.8376201,train,0.5531708999156256,train,0.56485844,train,0.7172960358651546
2010-02-02,1.8685147503590067,1.064047,train,1.3684223768420791,train,0.90768754,train,0.9727234947095004
2010-02-03,1.529595201687086,1.1952112,train,1.4487607837031142,train,1.5468504,train,1.3975560774412707
2010-02-04,1.0962120735451917,1.2491207,train,1.1578019725728448,train,1.0628517,train,1.3243606561858272
2010-02-05,2.112619381604845,0.956421,train,1.7886878270876148,train,1.6288702,train,1.2460549123939166
2010-02-06,0.3170541455738225,1.0049199,train,0.7433285759849386,train,0.65572333,train,1.3916131016052744
2010-02-07,1.0680804772078047,0.95482415,train,0.9810955265714194,train,0.9907087,train,0.7323907152633686
2010-02-08,0.6750914980028323,1.317034,train,0.8371496309124546,train,0.8772408,train,1.0530679969079464
2010-02-09,0.1915342474068915,0.96448183,train,0.4898495115338555,train,0.9108741,train,1.3370668489095303
2010-02-10,1.370935356799558,0.7198337,train,1.1675221557422817,train,1.2870778,train,1.1067681415317443
2010-02-11,7.564296231265597e-06,0.4417071,train,0.4631951496059301,train,0.93180895,train,1.109176759094736
2010-02-12,0.4151732704462343,0.47277704,train,0.6319152298523067,train,0.8095373,train,0.5951036553012798
2010-02-13,0.7022593648322781,0.92176616,train,0.8727455793763543,train,1.0714749,train,0.778643636033848
2010-02-14,0.5210346320014542,0.7721709,train,0.6715650569413697,train,1.07611,train,1.1866871925474878
2010-02-15,0.0419736413462786,0.7314971,train,0.3734141337664303,train,0.60912615,train,1.0350423145700296
2010-02-16,0.7393460653315223,0.9570939,train,0.8177402364164297,train,1.011711,train,0.7849842439621004
2010-02-17,0.9032805112124312,1.6014042,train,0.9497026400690348,train,1.056866,train,0.917525776214302
2010-02-18,1.3891719549224122,1.6565464,train,1.1725914489093872,train,1.0348272,train,1.1640174023571377
2010-02-19,0.4835419501473694,1.5974627,train,0.6502639963339186,train,1.0620958,train,1.3877008112606677
2010-02-20,1.0685667484249597,1.2452945,train,0.935018242104104,train,0.91384864,train,1.0996447892211427
2010-02-21,1.6293015873712255,1.0656105,train,1.3592245207949791,train,1.3980169,train,1.056441284774115
2010-02-22,1.00625883223873,1.340217,train,1.180358350264764,train,1.2281984,train,1.0010141061533275
2010-02-23,0.3843202270753352,1.3123642,train,0.6685134200294065,train,1.1267296,train,1.336418343057774
2010-02-24,0.0766871203226592,1.0240153,train,0.3930900972127488,train,0.7718643,train,1.332510309896906
2010-02-25,2.130624854424374,0.98425615,train,1.7399872158594505,train,1.3297414,train,1.039004454813684
2010-02-26,1.0516163126129283,0.8486048,train,1.1086482936109112,train,1.4239986,train,1.339210111929359
2010-02-27,0.6905469587757076,0.5491645,train,0.7493466315513169,train,1.0156329,train,0.9720920762995838
2010-02-28,0.2109542464458466,0.4752753,train,0.4257873753037192,train,0.74650466,train,1.0383598508751204
2010-03-01,0.0928946279802522,0.5181379,train,0.3463296260080044,train,0.9186283,train,1.0117153109640773
2010-03-02,0.5004822766349785,0.8334589,train,0.6208102978177698,train,0.85252297,train,1.093375978766379
2010-03-03,0.3847638452070634,0.66658866,train,0.551855956369618,train,0.82464725,train,1.0862442227584084
2010-03-04,1.4366389585202577,0.7375503,train,1.269536313549568,train,0.8950615,train,1.1556815306229198
2010-03-05,0.1172562182421588,0.58242375,train,0.5361343449442816,train,0.95098287,train,1.3012471535747618
2010-03-06,0.0386171580739149,0.6151982,train,0.3402709092536841,train,0.9568033,train,0.8307293666547938
2010-03-07,0.0686734191804663,0.6776783,train,0.3162342388145825,train,0.7592125,train,0.915722611441606
