Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest_x,RandomForest,typeRandomForest_y,RandomForest.1,typeXGBoost,XGBoost,typeELM,ELM
2020-04-02,2.847016168,train,3.188494,train,2.698979553,train,2.777572161,train,1.8316116,train,3.230921478
2020-04-03,3.799816793,train,3.506641,train,3.273834492,train,3.14344701,train,2.583604,train,2.820861791
2020-04-04,2.489985335,train,3.0870414,train,2.706184455,train,2.378974139,train,2.2299278,train,1.947521486
2020-04-05,1.045038866,train,2.4072978,train,1.467787428,train,1.372913835,train,1.6259085,train,2.227197883
2020-04-06,2.95652783,train,2.1256971,train,2.550760872,train,2.585423842,train,2.3537805,train,2.175976326
2020-04-07,2.748006357,train,2.3285062,train,2.488333113,train,2.675521535,train,2.3368192,train,2.994298355
2020-04-08,0.083437635,train,1.3163098,train,0.813911717,train,0.781721077,train,1.4334195,train,2.207945501
2020-04-09,1.006719912,train,0.76669174,train,1.392808922,train,1.209451205,train,1.6259085,train,2.33870521
2020-04-10,0.409455311,train,0.634096,train,0.998777465,train,1.231069433,train,1.5818225,train,2.225552263
2020-04-11,1.195154982,train,0.63016,train,1.395717817,train,1.231731191,train,1.4334195,train,1.141666516
2020-04-12,0.628711082,train,0.9268474,train,0.892178178,train,0.958999865,train,1.4063983,train,0.589322156
2020-04-13,1.268346402,train,1.6055667,train,1.459484734,train,1.353136851,train,1.4995636,train,1.122798725
2020-04-14,2.152435915,train,2.6369433,train,2.080773075,train,1.955486359,train,2.0331094,train,1.856425048
2020-04-15,2.527514496,train,2.7505116,train,2.237757976,train,2.110968904,train,2.1805084,train,2.484402039
2020-04-16,1.340053554,train,1.9949585,train,1.675948857,train,1.364638019,train,1.6815445,train,2.403718901
2020-04-17,2.173535384,train,1.4532757,train,1.994300813,train,2.020045758,train,1.5105255,train,1.379531108
2020-04-18,0.363480084,train,1.2219663,train,0.710108823,train,0.58518681,train,1.4817992,train,1.462399592
2020-04-19,0.038814702,train,1.0885142,train,0.576527306,train,0.583008509,train,1.4886572,train,0.761722279
2020-04-20,1.76509286,train,1.4736997,train,1.671062307,train,1.658956234,train,1.6259085,train,1.415900055
2020-04-21,3.583007543,train,2.1523898,train,2.765790731,train,2.88831275,train,2.6313796,train,1.64864467
2020-04-22,0.862661422,train,1.8094646,train,1.244611663,train,1.557226221,train,1.7066841,train,2.30632811
2020-04-23,0.406046125,train,1.6901357,train,0.811494052,train,0.766978167,train,1.4334195,train,1.90487238
2020-04-24,5.411725004,train,1.9444917,train,3.727249857,train,3.758053518,train,2.9276602,train,2.15376064
2020-04-25,3.106590554,train,1.6332408,train,2.693001263,train,2.744805113,train,2.3513649,train,2.037859467
2020-04-26,0.468236166,train,0.8838424,train,0.843311287,train,0.890501154,train,1.4817992,train,1.010054631
2020-04-27,2.066379521,train,1.341199,train,1.894098933,train,2.04126389,train,2.0174527,train,2.337055131
2020-04-28,1.046134125,train,1.639145,train,1.36255648,train,1.584530001,train,1.5203631,train,2.509192607
2020-04-29,1.958505399,train,1.5594016,train,1.835418234,train,1.886410191,train,1.9359448,train,1.840550796
2020-04-30,0.960161001,train,1.2050549,train,1.101208571,train,1.331410175,train,1.6259085,train,2.172902586
2020-05-01,0.191296089,train,0.85603446,train,0.821226946,train,0.670997459,train,1.4995636,train,1.544738396
2020-05-02,0.72565415,train,0.83262056,train,1.033389797,train,0.969078456,train,1.4886572,train,0.793447959
2020-05-03,0.046421713,train,0.83528376,train,0.49132257,train,0.66692889,train,1.4995636,train,0.852454803
2020-05-04,1.726861066,train,1.4915287,train,1.650639522,train,1.386240598,train,1.6259085,train,1.022733292
2020-05-05,3.078601339,train,2.0058012,train,2.718124284,train,2.356289686,train,1.8235615,train,1.709406555
2020-05-06,0.458295944,train,1.9086783,train,0.978733727,train,1.36375307,train,1.4334195,train,2.454993566
2020-05-07,1.752812403,train,1.4358261,train,1.793449886,train,1.615722297,train,1.869155,train,1.887396961
2020-05-08,2.436342064,train,1.8464199,train,2.173546053,train,2.185024912,train,1.9475676,train,3.036293651
2020-05-09,1.604870189,train,1.6703115,train,1.571620627,train,1.533084536,train,1.4817992,train,1.359794393
2020-05-10,0.510150855,train,1.5098922,train,0.847129857,train,0.955245492,train,1.4173602,train,0.681948103
2020-05-11,2.144717568,train,1.82896,train,1.788610728,train,1.745214888,train,1.5818225,train,0.973693006
2020-05-12,3.123069012,train,2.3308814,train,2.517174493,train,2.891441479,train,2.583604,train,2.337472742
2020-05-13,1.960378343,train,1.693255,train,1.827109971,train,1.848816022,train,1.870472,train,1.91586891
2020-05-14,1.295292756,train,0.8990845,train,1.344528868,train,1.515645118,train,1.6259085,train,1.692975408
2020-05-15,0.095374352,train,0.5771083,train,0.70768897,train,0.815817772,train,1.5818225,train,0.970124426
2020-05-16,0.415719524,train,0.7485522,train,0.792020878,train,0.718182976,train,1.4334195,train,1.057236697
2020-05-17,0.175441757,train,0.70007485,train,0.629062111,train,0.660030622,train,1.4886572,train,0.672542066
2020-05-18,1.095389867,train,0.9384692,train,1.131178339,train,1.145256124,train,1.4063983,train,0.295486164
2020-05-19,1.269112216,train,1.4253744,train,1.234610255,train,1.267177213,train,1.4063983,train,0.572535012
2020-05-20,1.316427097,train,1.3946787,train,1.385335473,train,1.526065117,train,1.6259085,train,1.622854167
2020-05-21,0.855518526,train,1.3673304,train,1.109215162,train,1.178702006,train,1.4995636,train,1.848464402
