Fecha,Vol. Futuros,TRM,Precio Interno,PI,MHI,FNI,SI
2020-04-04,2.489985335026472,4008.78,1195000.0,10.09,75.43,0.43,-3.69
2020-04-05,1.0450388660914405,4008.78,1195000.0,14.72,74.72,0.38,0.37
2020-04-06,2.956527830207942,4008.78,1200000.0,9.71,62.62,0.49,-0.42
2020-04-07,2.748006356602968,3978.38,1203000.0,3.24,42.8,0.52,-12.97
2020-04-08,0.0834376352119672,3910.15,1200000.0,8.48,57.38,1.98,-10.92
2020-04-09,1.0067199117723968,3886.79,1190000.0,6.03,48.72,0.78,-8.56
2020-04-10,0.4094553113787866,3886.79,1190000.0,3.71,57.5,0.78,-4.1
2020-04-11,1.195154981536982,3886.79,1190000.0,4.17,55.47,1.79,-4.76
2020-04-12,0.6287110822764721,3886.79,1190000.0,4.98,64.68,2.99,-6.68
2020-04-13,1.2683464024522668,3886.79,1192000.0,9.33,65.28,0.0,-6.23
2020-04-14,2.1524359148112318,3870.31,1165000.0,1.87,44.54,0.57,-4.82
2020-04-15,2.527514495819501,3858.21,1210000.0,5.16,59.91,1.47,-9.18
2020-04-16,1.3400535537482228,3920.83,1215000.0,9.25,55.28,0.91,-10.18
2020-04-17,2.1735353843179044,3942.92,1180000.0,3.11,59.96,2.93,-7.86
2020-04-18,0.3634800837719493,3973.06,1180000.0,3.88,66.47,0.8,-8.89
2020-04-19,0.0388147020045831,3973.06,1180000.0,5.21,77.08,1.56,-10.05
2020-04-20,1.765092860422011,3973.06,1172000.0,6.02,70.3,0.75,-11.42
2020-04-21,3.583007543465498,3967.76,1185000.0,1.78,57.47,0.73,-12.61
2020-04-22,0.8626614224337044,4045.01,1171000.0,1.38,53.02,0.42,-3.47
2020-04-23,0.4060461252201952,4037.95,1172000.0,5.88,67.2,0.8,-5.91
2020-04-24,5.411725003682691,4020.94,1132000.0,5.56,69.02,0.53,-10.07
2020-04-25,3.106590554108553,4039.87,1132000.0,2.04,65.6,1.02,-13.11
2020-04-26,0.4682361659512219,4039.87,1132000.0,5.56,61.62,1.52,-15.48
2020-04-27,2.0663795208786357,4039.87,1133000.0,2.16,68.1,0.86,-14.64
2020-04-28,1.046134124536955,4039.83,1140000.0,8.72,66.43,0.71,-13.54
2020-04-29,1.958505399440336,4046.04,1090000.0,10.93,72.06,0.4,-21.91
2020-04-30,0.960161001022007,3983.29,1105000.0,6.38,64.64,0.41,-23.84
2020-05-01,0.1912960889433992,3932.72,1102000.0,2.86,65.59,0.28,-20.89
2020-05-02,0.7256541503481568,3932.72,1102000.0,13.1,61.93,0.49,-21.28
2020-05-03,0.046421713359991,3932.72,1102000.0,8.62,67.38,0.31,-20.33
2020-05-04,1.726861066163664,3932.72,1118000.0,3.91,31.84,0.56,-23.03
2020-05-05,3.0786013386226707,3990.1,1130000.0,3.7,54.65,1.01,-20.14
2020-05-06,0.4582959442220386,3926.07,1139000.0,3.08,58.7,0.94,-21.65
2020-05-07,1.7528124034257349,3961.66,1115000.0,6.04,47.38,1.33,-9.78
