Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-05-28,3.373335724252059,4.34,54.81,0.0,-17.03
2020-05-29,2.866112253186237,4.51,65.1,0.29,-11.67
2020-05-30,0.2399621655782306,6.13,64.29,0.66,-5.21
2020-05-31,1.3419664701185163,2.64,68.68,0.75,-0.55
2020-06-01,0.9535665303638144,60.54,85.22,0.26,4.43
2020-06-02,0.1017811792700603,7.33,65.4,0.81,4.92
2020-06-03,0.9123225975521972,6.48,63.08,2.08,6.77
2020-06-04,0.963252061347217,2.25,44.26,0.47,0.51
2020-06-05,0.7612317906196397,3.18,47.93,0.16,-3.48
2020-06-06,0.7096608095053457,3.33,58.07,0.83,-5.19
2020-06-07,0.0386625070637545,8.02,61.79,6.6,-7.01
2020-06-08,0.670998302441591,4.44,54.81,10.37,-6.72
2020-06-09,1.1184661587894815,1.34,60.3,0.9,-6.54
2020-06-10,1.0794245130880402,5.45,60.96,0.96,-5.49
2020-06-11,0.7782140442054963,3.1,53.64,1.5,-5.19
2020-06-12,0.8368249670516579,1.45,44.28,0.48,-5.88
2020-06-13,0.34810787231702,4.72,59.03,0.14,-10.14
2020-06-14,0.2010167862218936,2.89,50.0,7.51,-9.73
2020-06-15,0.7193912941926641,8.22,60.27,0.34,-9.58
2020-06-16,0.3730353379906367,2.89,53.68,0.26,-8.61
2020-06-17,2.738454427779605,7.33,54.55,1.03,-10.38
2020-06-18,1.729149711006111,4.48,51.27,0.36,-6.96
2020-06-19,0.9025811207312332,2.32,48.49,2.32,-15.86
2020-06-20,0.552212160417347,5.91,53.32,0.74,-9.35
2020-06-21,1.022935370234095,4.87,50.19,1.87,-9.22
2020-06-22,0.7444082296674301,5.95,47.62,1.19,-12.79
2020-06-23,0.3121750714184585,5.26,48.56,1.32,-14.84
2020-06-24,0.4147232486446389,9.81,78.16,0.41,-22.88
2020-06-25,1.8799509273316783,6.07,53.33,0.7,-22.01
2020-06-26,0.8398999505238683,2.19,43.17,0.3,-5.52
2020-06-27,1.3368582843108796,3.71,40.05,0.16,-6.05
2020-06-28,0.97077287599299,2.14,44.16,0.78,-5.62
2020-06-29,0.7806224979323902,13.85,54.39,0.0,-5.79
2020-06-30,1.409182856111807,1.79,48.98,0.89,-2.39
2020-07-01,2.954424630672552,4.36,51.45,1.04,-3.05
2020-07-02,0.7793512413556868,3.09,50.75,0.32,-7.34
2020-07-03,2.304224712610933,2.07,51.15,0.49,-17.25
2020-07-04,2.207136362714829,8.19,60.84,1.2,-25.01
2020-07-05,1.2234897140103504,4.28,71.66,0.53,-26.18
2020-07-06,0.6698424436843388,4.97,69.3,9.65,-29.21
2020-07-07,2.0871208100906458,2.97,45.07,0.63,-32.82
2020-07-08,0.3027247518724999,3.36,52.84,0.65,-25.39
2020-07-09,1.2713112999837726,5.13,51.25,0.6,-26.78
2020-07-10,1.5992087013948306,2.45,54.95,0.43,-17.97
2020-07-11,0.0806220584778462,6.28,51.23,0.55,-16.14
